level,code,task_name,planned_dur,actual_start,actual_end,weight_pct,completion_pct,total_float,project_code,weight_norm
8,                                T6860,图纸到场,1,2023-01-18,2023-01-18,0.19,100.0,0,N812,7.509866581291342e-06
8,                                T6870,土方开挖,4,2023-01-28,2023-02-08,14.26,100.0,349,N812,0.0005636352497327081
8,                                T6880,结构基础,24,2023-01-27,2023-02-20,85.55,100.0,349,N812,0.003381416242260391
8,                                A1180,破碎机安装,20,2023-03-26,2023-04-14,35.71,100.0,361,N812,0.0014114596611469149
8,                                A1300,板喂机安装,15,2023-06-30,2023-07-10,26.79,100.0,236,N812,0.001058891187962079
8,                                A1310,收尘器安装,10,2023-06-27,2023-08-11,10.71,100.0,238,N812,0.00042331932150331726
8,                                A1320,皮带机安装,15,2023-06-28,2023-08-22,26.79,100.0,238,N812,0.001058891187962079
8,                                A1350,非标安装,20,2023-08-28,2023-09-19,100.0,100.0,238,N812,0.00395256135857439
8,                                A1000,辅助原料堆棚（南侧）,10,2022-11-20,2022-12-10,50.0,100.0,0,N812,0.001976280679287195
8,                                A1010,辅助原料堆棚（北侧）,10,2022-11-20,2022-12-10,50.0,100.0,0,N812,0.001976280679287195
8,                                A1020,辅助原料破碎设备及建筑物拆除,17,2022-11-13,2022-12-10,100.0,100.0,544,N812,0.00395256135857439
8,                                A1050,设备拆除,10,2022-11-20,2022-12-10,50.0,100.0,0,N812,0.001976280679287195
8,                                A1060,网架拆除,10,2022-11-30,2022-12-12,50.0,100.0,534,N812,0.001976280679287195
8,                                T1890,桥架安装,40,2023-05-21,2023-08-24,58.82,100.0,270,N812,0.0023248965911134563
8,                                T1940,电缆敷设及检查接线施工,25,2023-09-05,2023-09-23,41.18,100.0,238,N812,0.0016276647674609338
8,                                T1960,单机试车,7,2023-09-09,2023-09-09,100.0,100.0,238,N812,0.00395256135857439
8,                                T1210,图纸到场,1,2022-10-28,2022-10-28,0.9,100.0,0,N812,3.5573052227169515e-05
8,                                T1220,灌注桩,5,2022-10-29,2022-11-02,99.1,100.0,571,N812,0.003916988306347221
8,                                T1240,土（石）方开挖、回填及降水工程,4,2022-12-01,2022-12-04,7.37,100.0,488,N812,0.00029130377212693257
8,                                T1250,结构基础,20,2022-12-05,2022-12-24,36.87,100.0,488,N812,0.0014573093729063776
8,                                T1260,窑墩上部结构,30,2022-12-25,2023-01-18,55.3,100.0,488,N812,0.002185766431291638
8,                                T1270,土建工程交安,1,2023-01-28,2023-01-28,0.46,100.0,488,N812,1.8181782249442197e-05
8,                                T1280,土（石）方开挖、回填及降水工程,4,2022-12-01,2022-12-04,7.37,100.0,489,N812,0.00029130377212693257
8,                                T1290,结构基础,20,2022-12-05,2022-12-24,36.87,100.0,489,N812,0.0014573093729063776
8,                                T1300,窑墩上部结构,30,2022-12-25,2023-01-18,55.3,100.0,489,N812,0.002185766431291638
8,                                T1310,土建工程交安,1,2023-01-27,2023-01-27,0.46,100.0,489,N812,1.8181782249442197e-05
8,                                T1320,土（石）方开挖、回填及降水工程,4,2022-12-17,2022-12-20,8.34,100.0,0,N812,0.00032964361730510413
8,                                T1330,结构基础,20,2022-12-21,2023-01-09,39.1,100.0,15,N812,0.0015454514912025866
8,                                T1340,窑墩上部结构,25,2023-01-10,2023-01-29,52.13,100.0,15,N812,0.0020604702362248296
8,                                T1350,土建工程交安,1,2023-01-30,2023-01-30,0.43,100.0,15,N812,1.699601384186988e-05
8,                                T4000,回转窑-支承底座安装及找正,20,2023-03-05,2023-03-19,100.0,100.0,-8,N812,0.00395256135857439
8,                                T4080,回转窑-托轮安装找正,25,2023-05-01,2023-05-25,100.0,100.0,255,N812,0.00395256135857439
8,                                T4040,回转窑-筒体找正焊接（大、小齿轮安装）,15,2023-06-08,2023-08-04,15.79,100.0,257,N812,0.0006241094385188962
8,                                T4050,回转窑-大小齿轮精找,10,2023-08-09,2023-08-15,10.53,100.0,257,N812,0.0004162047110578833
8,                                T4070,回转窑-电机、减速器、油站安装,20,2023-07-31,2023-08-06,21.05,100.0,257,N812,0.0008320141659799091
8,                                T4090,回转窑-筒体安装、套装轮带,50,2023-05-28,2023-05-31,52.63,100.0,255,N812,0.0020802330430177017
8,                                A1190,三次风管砌筑,75,2023-07-02,2023-09-12,83.33,100.0,260,N812,0.0032936693801000395
8,                                A1200,回转窑砌筑,15,2023-08-28,2023-09-13,16.67,100.0,266,N812,0.0006588919784743509
8,                                A1210,窑中走道安装,15,2023-02-10,2023-02-24,83.34,100.0,462,N812,0.003294064636235897
8,                                A1220,三次风管支架安装,3,2023-06-04,2023-06-27,16.66,100.0,366,N812,0.0006584967223384934
8,                                A2160,三次风管制作,10,2023-04-25,2023-05-12,0.0,100.0,386,N812,0.0
8,                                A1240,三次风管安装,20,2023-06-11,2023-07-06,100.0,100.0,326,N812,0.00395256135857439
8,                                A1250,非标安装,30,2023-08-04,2023-09-03,100.0,100.0,257,N812,0.00395256135857439
8,                                A1380,风机安装,30,2023-07-21,2023-08-13,100.0,100.0,286,N812,0.00395256135857439
8,                                T2200,桥架安装,20,2023-06-08,2023-07-16,31.25,100.0,329,N812,0.001235175424554497
8,                                T2220,仪表安装,7,2023-08-05,2023-08-22,15.63,100.0,308,N812,0.0006177853403451772
8,                                T2230,电气及自动化仪表配管安装,7,2023-08-04,2023-08-23,15.63,100.0,301,N812,0.0006177853403451772
8,                                T2240,电缆敷设及检查接线施工,30,2023-07-03,2023-08-10,37.49,100.0,257,N812,0.001481815253329539
8,                                T6570,单机试车,10,2023-08-26,2023-08-26,100.0,100.0,257,N812,0.00395256135857439
8,                                T5450,图纸到场,1,2022-11-01,2022-11-05,0.24,100.0,44,N812,9.486147260578537e-06
8,                                T5460,灌注桩,10,2022-11-02,2022-12-11,99.76,100.0,44,N812,0.003943075211313812
8,                                T1400,图纸到场,1,2022-12-26,2022-12-26,0.22,100.0,0,N812,8.695634988863659e-06
8,                                T1420,结构基础（篦冷机）,30,2023-02-26,2023-03-05,74.83,100.0,267,N812,0.002957701664621216
8,                                T1440,结构基础（收尘）,10,2023-02-04,2023-02-12,24.95,100.0,267,N812,0.0009861640589643103
8,                                T1430,地坑,50,2022-12-27,2023-03-02,67.73,100.0,267,N812,0.0026770698081624348
8,                                T1470,框架混凝土施工（第一层）,15,2023-04-10,2023-05-14,16.14,100.0,352,N812,0.0006379434032739066
8,                                T1475,框架混凝土施工（第二层）,15,2023-05-15,2023-05-31,16.13,100.0,352,N812,0.0006375481471380491
8,                                T1540,框架混凝土施工,45,2023-02-15,2023-03-20,100.0,100.0,278,N812,0.00395256135857439
8,                                T4100,袋收尘器-钢支架及活动支座安装,30,2023-04-09,2023-04-19,30.0,100.0,278,N812,0.001185768407572317
8,                                T4120,袋收尘器-袋室安装,30,2023-04-23,2023-04-30,30.0,100.0,278,N812,0.001185768407572317
8,                                T4150,袋收尘器-箱体安装,30,2023-04-21,2023-04-30,30.0,100.0,278,N812,0.001185768407572317
8,                                T4190,袋收尘器-龙骨、滤袋安装,10,2023-08-28,2023-09-22,10.0,100.0,300,N812,0.00039525613585743904
8,                                T4500,篦式冷却机-料斗、下墙板安装/底梁安装,18,2023-03-19,2023-03-26,20.0,100.0,329,N812,0.0007905122717148781
8,                                T4510,篦式冷却机-篦板安装/篦床模块安装,18,2023-03-23,2023-04-02,20.0,100.0,329,N812,0.0007905122717148781
8,                                T4520,篦式冷却机-破碎机安装,18,2023-03-25,2023-03-27,20.0,100.0,329,N812,0.0007905122717148781
8,                                T4530,篦式冷却机-上墙板安装,18,2023-04-01,2023-04-10,20.0,100.0,329,N812,0.0007905122717148781
8,                                T4540,篦式冷却机-液压驱动安装,18,2023-07-30,2023-08-20,20.0,100.0,282,N812,0.0007905122717148781
8,                                A1430,收尘器保温,35,2023-06-01,2023-06-17,100.0,100.0,278,N812,0.00395256135857439
8,                                A1440,大非标安装,35,2023-06-20,2023-07-31,100.0,100.0,282,N812,0.00395256135857439
8,                                A1450,大非标保温,25,2023-07-24,2023-09-09,100.0,100.0,300,N812,0.00395256135857439
8,                                A1460,窑头罩砌筑,15,2023-07-02,2023-08-10,25.0,100.0,-9,N812,0.0009881403396435975
