project_code,date,week_num,path,work_category,primary_work,item_order,text,action_phrases,quantity_type,quantity_value,cumulative_value,total_value,remaining_value,percent_complete
P001,2025-04-12,15,辅料堆场,土建,土建,1,石膏堆棚北侧道路基槽开挖，碾压；总降东侧道路级配砂石层碾压完成,道路基槽开挖|基槽开挖,,,,,,
P001,2025-04-12,15,机修车间,钢结构|设备安装,钢结构,2,机修车间6.977米牛腿预埋件安装，框柱垂直度验收,腿预埋件安装|预埋件安装,米,6.977,,,,
P001,2025-04-12,15,生料库,土建,土建,3,均化库桩头破除剩余2根试验桩，桩基承载力试验,,根数,2.0,,,2.0,
P001,2025-04-13,15,辅料堆场,土建,土建,1,1石灰石储存区域道路砂垫层铺设，碾压,路砂垫层铺设,,,,,,
P001,2025-04-13,15,机修车间,钢结构,钢结构,2,机修车间6.977米牛腿预埋件标高校准,,米,6.977,,,,
P001,2025-04-13,15,生料库,土建,土建,3,均化库桩头破除剩余2根试验桩，桩基承载力试验,,根数,2.0,,,2.0,
P001,2025-04-14,16,辅料堆场,土建,土建,1,1石灰石储存基坑开挖，桩头破除,储存基坑开挖|基坑开挖,,,,,,
P001,2025-04-14,16,机修车间,土建,土建,2,机修车间6.977米以下柱，梁混泥土浇筑,梁混泥土浇筑,米,6.977,,,,
P001,2025-04-14,16,生料库,土建,土建,3,均化库桩头破除剩余2根试验桩，桩基承载力试验，承台钢筋绑扎,承台钢筋绑扎|钢筋绑扎,根数,2.0,,,2.0,
P001,2025-04-15,16,辅料堆场,土建,土建,1,辅料堆场区域道路砂垫层、级配砂石层铺设，碾压,配砂石层铺设,,,,,,
P001,2025-04-15,16,烧成窑中,土建,土建,2,窑中桩基完成10根，累计完成12根，总计42根,,根数,10.0,12.0,42.0,,
P001,2025-04-15,16,辅料堆场,土建,土建,3,石灰石储存基坑开挖完成，桩头破除,储存基坑开挖|基坑开挖,,,,,,
P001,2025-04-16,16,辅料堆场,土建,土建,1,辅料堆场区域道路砂垫层、级配砂石层铺设，碾压,配砂石层铺设,,,,,,
P001,2025-04-16,16,烧成窑中,土建,土建,2,窑中桩基完成10根，累计完成22根，总计42根,,根数,10.0,22.0,42.0,,
P001,2025-04-16,16,辅料堆场,土建,土建,3,石灰石储存承台垫层模板支设，桩头破除,,,,,,,
P001,2025-04-17,16,辅料堆场,土建,土建,1,辅料堆场西侧道路，砂垫层铺设,砂垫层铺设,,,,,,
P001,2025-04-17,16,烧成窑中,土建,土建,2,窑中桩基完成6根，累计完成28根，总计42根,,根数,6.0,28.0,42.0,,
P001,2025-04-17,16,辅料堆场,土建,土建,3,石灰石储存承台垫层砼浇筑,台垫层砼浇筑|砼浇筑,,,,,,
P001,2025-04-18,16,烧成窑尾,土建,土建,1,窑中桩基完成4根，累计完成32根，总计42根；其余桩位于窑尾基坑内，待回填后施工,,根数,4.0,32.0,42.0,,
P001,2025-04-18,16,机修车间,土建,土建,2,机修车间9米梁钢筋绑扎,米梁钢筋绑扎|钢筋绑扎,米,9.0,,,,
P001,2025-04-18,16,生料库,土建,土建,3,生料库环梁承台钢筋绑扎,承台钢筋绑扎|钢筋绑扎,,,,,,
P001,2025-04-19,16,煤粉制备,土建,土建,1,厂区道路：原煤堆场堆场，水泥包装区域道路基槽开挖,道路基槽开挖|基槽开挖,,,,,,
P001,2025-04-19,16,水泥储存,土建|设备安装,土建,2,桩基工程：设备转场至水泥库，总计完成281根，已到图纸共计333 根,,根数,281.0,,,,
P001,2025-04-19,16,中控电气,土建|设备安装,土建,3,中控楼：一层上下水管预埋，电缆沟钢筋模板完成,,,,,,,
P001,2025-04-20,16,辅料堆场,土建,土建,1,厂区道路：辅料堆场西侧道路级配砂石层铺设,配砂石层铺设,,,,,,
P001,2025-04-20,16,水泥储存,土建,土建,2,桩基工程：水泥库桩位复测,,,,,,,
P001,2025-04-20,16,中控电气,其他,其他,3,中控楼：墙体植筋拉拔试验,,,,,,,
P001,2025-04-21,17,辅料堆场,土建,土建,1,厂区道路：辅料堆场东侧道路砂垫层铺设,路砂垫层铺设,,,,,,
P001,2025-04-21,17,水泥储存,土建,土建,2,桩基工程：水泥库灌注桩施工,水泥库灌注,,,,,,
P001,2025-04-21,17,中控电气,土建,土建,3,中控楼：外墙砌筑,外墙砌筑|墙砌筑,,,,,,
P001,2025-04-22,17,辅料堆场,土建,土建,1,厂区道路：石膏堆棚北侧道路砂垫层铺设,路砂垫层铺设,,,,,,
P001,2025-04-22,17,水泥储存,土建,土建,2,桩基工程：水泥库灌注桩施工6根，总计42根,水泥库灌注,根数,6.0,,42.0,,
P001,2025-04-22,17,中控电气,土建,土建,3,中控楼：二层外墙砌筑,二层外墙砌筑|墙砌筑,,,,,,
P001,2025-04-23,17,辅料堆场,土建,土建,1,厂区道路：石膏堆棚北侧道路砂垫层铺设,路砂垫层铺设,,,,,,
P001,2025-04-23,17,水泥储存,土建,土建,2,桩基工程：水泥库灌注桩完成8根，累计完成14根，总计42根,水泥库灌注,根数,8.0,14.0,42.0,,
P001,2025-04-23,17,中控电气,土建,土建,3,中控楼：二层外墙砌筑,二层外墙砌筑|墙砌筑,,,,,,
