project_code,week_start,week_end,week_num,month,n_days,rain_days,extreme_days,avg_temp,avg_workers,max_workers,sub_count,avg_excavator,avg_crane,avg_loader,avg_mobile_crane,total_equip,avg_items_per_day,total_items_week,cat_土建,cat_钢结构,cat_设备安装,cat_装修,weekly_progress,cumulative_progress
P001,2025-04-07,2025-04-13,1,4,2,0,0,6.0,143.5,146,5.0,4.0,0.0,1.0,5.0,10.0,6.5,13,9,2,1,0,0.011586901763224182,0.011586901763224182
P001,2025-04-14,2025-04-20,2,4,7,1,0,8.9,157.6,164,5.3,5.29,0.0,3.0,5.0,13.29,8.1,57,55,0,11,0,0.0327455919395466,0.04433249370277078
P001,2025-04-21,2025-04-27,3,4,7,0,0,7.2,206.0,211,6.0,8.0,0.0,4.0,5.0,17.0,8.0,56,52,4,7,0,0.026700251889168764,0.07103274559193955
P001,2025-04-28,2025-05-04,4,4,7,0,0,9.9,274.7,280,6.0,8.0,0.0,4.0,5.0,17.0,8.4,59,46,0,21,0,0.02065491183879093,0.09168765743073048
P001,2025-05-05,2025-05-11,5,5,7,0,0,9.3,442.0,792,5.7,8.0,0.0,4.0,5.0,17.0,7.6,53,44,3,17,0,0.017632241813602016,0.1093198992443325
P001,2025-05-12,2025-05-18,6,5,7,0,0,13.7,796.0,806,5.0,7.71,1.0,3.86,4.86,17.43,8.6,60,43,12,18,0,0.01309823677581864,0.12241813602015113
P001,2025-05-19,2025-05-25,7,5,7,2,0,11.9,864.9,898,5.0,6.0,7.0,3.0,4.0,20.0,9.7,68,50,14,21,1,0.016120906801007556,0.1385390428211587
P001,2025-05-26,2025-06-01,8,5,7,0,0,14.5,909.9,967,5.1,6.0,7.86,3.0,4.0,20.86,13.7,96,57,27,25,0,0.02619647355163728,0.16473551637279596
P001,2025-06-02,2025-06-08,9,6,7,0,0,16.4,953.0,967,5.1,6.0,8.0,2.14,2.57,18.71,14.1,99,75,31,33,0,0.027204030226700253,0.19193954659949622
P001,2025-06-09,2025-06-15,10,6,7,1,0,16.1,1045.6,1087,5.0,6.86,8.0,3.71,4.0,22.57,14.1,99,67,22,46,0,0.019143576826196475,0.2110831234256927
P001,2025-06-16,2025-06-22,11,6,7,1,1,15.7,1090.9,1114,5.3,7.0,8.14,4.0,4.0,23.14,12.0,84,31,16,25,2,0.026700251889168764,0.23778337531486146
P001,2025-06-23,2025-06-29,12,6,7,2,0,16.9,1141.7,1176,7.0,7.0,9.86,4.0,4.86,25.71,13.7,96,58,21,61,0,0.019143576826196475,0.25692695214105793
P001,2025-06-30,2025-07-06,13,6,7,4,0,15.9,1266.6,1318,7.0,7.0,10.0,4.0,5.0,26.0,13.3,93,47,18,43,0,0.02065491183879093,0.27758186397984885
P001,2025-07-07,2025-07-13,14,7,7,3,0,18.6,1346.3,1472,7.0,7.0,10.0,4.0,5.0,26.0,14.6,102,56,16,45,0,0.030226700251889168,0.307808564231738
P001,2025-07-14,2025-07-20,15,7,7,4,0,18.3,1548.6,1586,8.4,7.0,10.0,4.0,5.0,26.0,17.0,119,56,12,39,1,0.02518891687657431,0.33299748110831234
P001,2025-07-21,2025-07-27,16,7,7,1,0,19.6,1603.7,1746,9.7,7.0,10.0,4.0,5.0,26.0,16.0,112,44,3,36,7,0.02216624685138539,0.35516372795969775
P001,2025-07-28,2025-08-03,17,7,7,3,0,19.8,1682.4,1746,13.3,7.0,10.0,4.0,5.0,26.0,16.3,114,56,3,46,1,0.01712846347607053,0.37229219143576825
P001,2025-08-04,2025-08-10,18,8,7,4,0,16.5,1584.3,1612,12.0,7.0,10.0,4.0,5.0,26.0,12.9,90,47,5,27,0,0.023173803526448364,0.3954659949622166
P001,2025-08-11,2025-08-17,19,8,7,0,0,18.6,1603.4,1612,12.0,7.0,10.0,4.0,5.0,26.0,16.4,115,42,22,37,0,0.025692695214105794,0.4211586901763224
P001,2025-08-18,2025-08-24,20,8,7,3,0,16.0,1649.3,1732,12.9,6.14,10.0,4.0,5.14,25.29,17.0,119,42,21,38,0,0.026700251889168764,0.4478589420654912
P001,2025-08-25,2025-08-31,21,8,7,3,0,14.8,1737.7,1742,13.1,6.0,10.0,4.0,5.0,25.0,19.0,133,59,25,42,0,0.016120906801007556,0.46397984886649873
P001,2025-09-01,2025-09-07,22,9,7,0,0,14.6,1752.7,1775,14.0,7.0,10.0,4.0,9.0,30.0,18.0,126,46,24,28,0,0.02115869017632242,0.48513853904282117
P001,2025-09-08,2025-09-14,23,9,7,0,0,16.2,1760.7,1775,13.7,7.0,10.0,4.0,9.0,30.0,18.0,126,33,7,16,2,0.025692695214105794,0.510831234256927
P001,2025-09-15,2025-09-21,24,9,7,0,0,12.4,1674.4,1747,13.0,7.0,10.0,4.0,9.0,30.0,21.4,150,62,34,49,0,0.030730478589420653,0.5415617128463476
P001,2025-09-22,2025-09-28,25,9,7,0,0,10.2,1494.1,1498,13.6,6.0,10.0,4.0,5.0,25.0,20.7,145,62,30,44,0,0.01712846347607053,0.5586901763224181
P001,2025-09-29,2025-10-05,26,9,7,1,0,11.4,1460.4,1465,13.0,7.0,10.0,4.0,9.0,30.0,22.0,154,67,46,58,0,0.02065491183879093,0.5793450881612091
P001,2025-10-06,2025-10-12,27,10,7,4,0,5.9,1430.7,1461,13.0,7.0,10.0,4.0,9.0,30.29,23.0,161,72,43,48,0,0.018639798488664986,0.597984886649874
P001,2025-10-13,2025-10-19,28,10,7,0,0,4.9,1478.7,1547,13.1,7.0,10.0,4.0,9.0,31.0,23.3,163,60,59,74,6,0.02065491183879093,0.618639798488665
P001,2025-10-20,2025-10-26,29,10,7,0,0,3.7,1541.9,1595,14.1,7.0,10.0,4.0,9.0,31.0,23.7,166,70,49,70,5,0.02216624685138539,0.6408060453400504
P001,2025-10-27,2025-11-02,30,10,7,0,0,4.5,1464.1,1475,15.0,7.0,10.0,4.0,9.0,31.0,23.1,162,65,40,57,6,0.017632241813602016,0.6584382871536524
P001,2025-11-03,2025-11-09,31,11,7,1,0,1.2,1366.6,1421,15.0,4.43,7.57,3.14,9.0,25.14,21.6,151,50,29,51,7,0.017632241813602016,0.6760705289672544
P001,2025-11-10,2025-11-16,32,11,7,0,0,-1.7,1199.3,1237,14.9,4.14,7.0,3.0,9.0,24.14,22.9,160,45,69,55,6,0.015617128463476071,0.6916876574307305
P001,2025-11-17,2025-11-23,33,11,7,0,0,-4.3,874.7,973,13.7,5.0,6.43,3.0,9.0,24.43,19.3,135,29,68,48,5,0.014105793450881612,0.705793450881612
P001,2025-11-24,2025-11-30,34,11,6,0,0,-3.0,748.0,785,14.0,5.0,5.0,3.0,9.0,23.0,10.7,64,6,25,31,0,0.008564231738035265,0.7143576826196474
P001,2025-12-01,2025-12-07,35,12,7,0,0,-5.1,612.6,631,13.3,5.0,4.0,3.0,9.0,22.0,12.7,89,7,64,43,0,0.011586901763224182,0.7259445843828716
P001,2025-12-08,2025-12-14,36,12,7,1,0,-5.6,526.0,526,13.0,5.0,4.0,3.0,9.0,22.0,13.7,96,8,58,46,0,0.014105793450881612,0.7400503778337532
