project_code,week_start,week_end,week_num,weekly_progress,cumulative_progress,active_tasks,new_starts,overdue_tasks,month,avg_task_dur,total_remaining_work,delay_ratio_to_date,completed_this_week
N812,2022-09-12,2022-09-18,1,0.0,0.0,3,3,0,9,4.333333333333333,13,1.0,1
N812,2022-09-19,2022-09-25,2,0.0,0.0,2,0,1,9,5.5,11,1.0,1
N812,2022-09-26,2022-10-02,3,4e-05,4e-05,5,4,2,9,5.8,29,1.0,3
N812,2022-10-03,2022-10-09,4,0.0,4e-05,3,1,2,10,17.0,51,1.0,0
N812,2022-10-10,2022-10-16,5,0.0,4e-05,4,1,2,10,20.25,81,1.0,0
N812,2022-10-17,2022-10-23,6,0.00393,0.00397,4,0,2,10,20.25,81,1.0,1
N812,2022-10-24,2022-10-30,7,0.003978,0.007948,5,2,2,10,13.6,68,0.896,2
N812,2022-10-31,2022-11-06,8,0.007887,0.015836,8,5,2,10,8.375,67,1.71,4
N812,2022-11-07,2022-11-13,9,0.009049,0.024885,7,3,2,11,12.285714285714286,86,1.387,4
N812,2022-11-14,2022-11-20,10,3.4e-05,0.024919,10,7,2,11,10.7,107,1.38,2
N812,2022-11-21,2022-11-27,11,0.003946,0.028866,13,5,2,11,12.076923076923077,157,1.342,3
N812,2022-11-28,2022-12-04,12,0.00124,0.030105,14,4,2,11,13.571428571428571,190,1.308,3
N812,2022-12-05,2022-12-11,13,0.013833,0.043938,18,7,2,12,19.61111111111111,353,1.602,6
N812,2022-12-12,2022-12-18,14,0.01793,0.061868,19,7,2,12,23.68421052631579,450,1.51,7
N812,2022-12-19,2022-12-25,15,0.011142,0.073011,18,6,2,12,25.38888888888889,457,1.355,6
N812,2022-12-26,2023-01-01,16,0.001981,0.074992,19,7,2,12,27.842105263157894,529,1.275,4
N812,2023-01-02,2023-01-08,17,0.006972,0.081963,18,3,2,1,30.0,540,1.218,5
N812,2023-01-09,2023-01-15,18,0.004523,0.086486,18,5,2,1,32.611111111111114,587,1.195,3
N812,2023-01-16,2023-01-22,19,0.010675,0.097162,17,2,2,1,33.705882352941174,573,1.114,6
N812,2023-01-23,2023-01-29,20,0.006049,0.103211,17,6,2,1,32.05882352941177,545,1.104,4
N812,2023-01-30,2023-02-05,21,0.004742,0.107953,20,7,2,1,33.95,679,1.096,3
N812,2023-02-06,2023-02-12,22,0.002089,0.110042,23,6,2,2,32.0,736,1.121,3
N812,2023-02-13,2023-02-19,23,0.002811,0.112853,23,3,2,2,33.869565217391305,779,1.075,2
N812,2023-02-20,2023-02-26,24,0.013267,0.12612,26,5,2,2,32.53846153846154,846,1.072,6
N812,2023-02-27,2023-03-05,25,0.014321,0.14044,28,8,2,2,33.67857142857143,943,1.069,6
N812,2023-03-06,2023-03-12,26,0.007245,0.147685,27,5,2,3,30.814814814814813,832,1.053,4
N812,2023-03-13,2023-03-19,27,0.010129,0.157815,29,6,2,3,28.413793103448278,824,1.038,5
N812,2023-03-20,2023-03-26,28,0.015232,0.173047,32,8,2,3,27.59375,883,1.028,7
N812,2023-03-27,2023-04-02,29,0.008625,0.181672,38,13,2,3,25.473684210526315,968,1.059,8
N812,2023-04-03,2023-04-09,30,0.007959,0.189632,39,9,2,4,24.923076923076923,972,1.043,8
N812,2023-04-10,2023-04-16,31,0.031071,0.220703,43,12,2,4,23.58139534883721,1014,1.111,16
N812,2023-04-17,2023-04-23,32,0.011295,0.231998,35,8,2,4,24.542857142857144,859,1.099,8
N812,2023-04-24,2023-04-30,33,0.011429,0.243427,35,8,2,4,26.057142857142857,912,1.068,7
